IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
18,5,3,1,0,3,1,0,0,2,2,2,1,12,4,1,257.28,255.81
18,3,5,1,1,3,1,1,0,2,3,2,2,16,6,1,286.94,262.11
17,4,5,1,0,3,1,0,0,2,2,1,1,18,12,1,301.76,367.25
17,3,2,1,1,3,1,0,0,2,2,2,1,15,9,1,286.39,345.35
17,5,2,1,0,5,3,0,0,2,2,1,4,24,21,1,376.97,428.61
18,5,5,1,1,3,2,0,0,1,1,1,4,17,7,1,285.69,274.64
18,4,4,1,0,3,1,1,1,1,3,3,1,14,5,1,276.23,224.97
18,4,4,1,1,5,1,1,0,3,2,1,4,21,11,1,322.64,359.91
17,5,3,1,0,3,1,0,0,3,3,3,1,21,4,1,320.55,232.52
17,5,5,0,0,3,1,0,0,2,3,3,3,13,10,1,263.82,296.63
17,4,4,1,0,3,1,0,0,2,1,1,1,15,6,1,279.49,248.49
17,3,5,1,0,3,1,0,0,2,3,1,1,20,13,1,307.62,309.88
17,4,6,1,1,3,1,0,0,1,2,2,1,14,7,1,261.08,217.81
17,4,5,0,0,5,2,0,0,2,1,2,1,10,4,1,214.46,249.17
18,4,1,1,0,3,1,0,0,2,2,1,3,15,5,1,281.28,237.48
19,2,2,1,2,5,1,0,0,2,2,2,1,11,9,1,248.12,304.82
18,3,4,1,0,3,1,0,0,2,2,3,2,9,3,1,217.28,219.79
18,5,3,1,0,3,1,0,0,0,2,2,1,15,1,1,283.65,188.36
17,5,5,1,1,3,1,0,0,2,3,3,1,23,9,1,340.36,307.84
17,6,5,1,1,3,2,0,0,3,2,2,1,7,4,1,229.86,205.21
18,4,5,1,1,5,1,0,0,0,3,2,1,10,7,1,247.42,260.44
17,3,3,1,0,3,1,0,0,2,3,2,2,7,8,1,215.09,253.06
17,6,3,0,0,3,1,0,0,2,3,3,3,9,2,1,238.69,195.18
17,3,3,1,0,3,1,0,0,1,2,2,2,19,3,1,298.1,257.4
17,5,6,1,1,3,2,0,0,2,3,2,1,7,3,1,227.15,238.08
17,3,3,1,1,3,1,0,0,1,2,1,1,22,6,1,333.38,250.94
17,6,6,1,2,3,2,0,0,2,3,2,1,12,6,1,263.69,266.85
18,3,3,1,0,3,2,0,0,1,3,2,4,15,2,1,280.77,227.64
18,5,3,1,1,3,1,0,0,2,2,2,4,21,11,1,313.52,336.1
17,4,3,1,1,3,1,0,0,2,2,2,1,21,13,1,319.41,349.81
17,5,4,1,1,3,3,0,0,2,2,2,3,12,12,1,258.63,333.69
18,5,4,0,0,7,1,0,0,2,2,2,3,9,1,1,231.65,228.88
